DISTRICT,lat,lon
Achham,29.0396,81.2519
Arghakhanchi,27.894,83.122
Baglung,28.3641,83.2078
Baitadi,29.5013,80.5883
Bajang,29.7767,81.2519
Bajura,29.4201,81.4279
Banke,28.1022,81.8224
Bara,27.1341,85.0649
Bardiya,28.3102,81.4279
Bhaktapur,27.6866,85.4582
Bhojpur,27.1042,87.0402
Chitawan,27.5291,84.3542
Dadeldhura,29.2188,80.4994
Dailekh,28.9262,81.6473
Dang,28,82.4753
Darchula,29.9363,80.8987
Dhading,27.9711,84.8985
Dhankuta,27.0105,87.2151
Dhanusa,26.835,86.0122
Dolkha,27.7784,86.1752
Dolpa,29.0539,83.0791
Doti,29.2006,80.8987
Gorkha,28.2964,84.8568
Gulmi,28.0889,83.2934
Humla,30.0052,81.9535
Ilam,26.9225,87.8942
Jajarko,28.8651,82.1714
Jhapa,26.5455,87.8942
Jumla,29.2889,82.3018
Kabhre,27.5285,85.6435
Kailali,28.8314,80.8987
Kalikot,29.2089,81.7349
Kanchanpur,28.8372,80.3213
Kapilbastu,27.5528,83.0496
Kaski,28.2622,84.0167
Kathmandu,27.7293,85.3343
Khotang,27.1838,86.7819
Lalitpur,27.5178,85.3136
Lamjung,28.2765,84.3542
Mahottari,26.8762,85.8077
Makwanpur,27.5546,85.0233
Manang,28.6667,84.0167
Morang,26.6799,87.4604
Mugu,29.6144,82.3452
Mustang,28.9985,83.8473
Myagdi,28.6029,83.3362
Nawalparasi,27.6572,84.059
Nuwakot,27.8895,85.2308
Okhaldhunga,27.3619,86.3782
Palpa,27.8253,83.6348
Panchther,27.1096,87.8157
Parbat,28.2246,83.6987
Parsa,27.219,84.8151
Pyuthan,28.1032,82.8548
Ramechhap,27.4469,86.053
Rasuwa,28.1755,85.3963
Rolpa,28.3816,82.6483
Routahat,26.9547,85.3136
Rukum,28.6947,82.4319
Rupandehi,27.533,83.3789
Salyan,28.4014,82.1714
Sankhuwasabha,27.6174,87.3016
Saptari,26.6191,86.7819
Sarlahi,26.9627,85.5612
Sindhuli,27.2569,85.9713
Sindhupalchok,27.9512,85.6846
Siraha,26.7036,86.3782
Solukhumbu,27.6992,86.7416
Sunsari,26.6276,87.1822
Surkhet,28.5175,81.7787
Syangja,28.0197,83.8049
Tanahun,27.9447,84.2279
Taplejung,27.6257,87.7763
Terhathum,27.1998,87.5791
Udayapur,26.8518,86.6611
