DISTRICT,totalNitrogen,p2o5,ph,organicMatter
Achham,0.15 %,71.3 kg/ha,6.12,3.72 %
Arghakhanchi,0.14 %,53.01 kg/ha,6.12,3.67 %
Baglung,0.05 %,235.77 kg/ha,6.14,2.3 %
Baitadi,0.06 %,82.55 kg/ha,6.7,4.8 %
Bajang,0.26 %,78.17 kg/ha,6.25,5.37 %
Bajura,0.18 %,38.02 kg/ha,6.21,4.15 %
Banke,0.18 %,111.3 kg/ha,6.86,3.24 %
Bara,0.15 %,77.44 kg/ha,7.36,2.84 %
Bardiya,0.09 %,56.09 kg/ha,7.14,1.72 %
Bhaktapur,0.11 %,258.82 kg/ha,5.61,1.43 %
Bhojpur,0.13 %,86.24 kg/ha,6.5,3.05 %
Chitawan,0.15 %,80.36 kg/ha,6.31,2.65 %
Dadeldhura,0.18 %,107.77 kg/ha,6.3,3.76 %
Dailekh,0.1 %,58.39 kg/ha,6.29,2.71 %
Dang,0.11 %,177.29 kg/ha,6.89,2.7 %
Darchula,0.25 %,229.88 kg/ha,7.0,5.83 %
Dhading,0.16 %,143.53 kg/ha,5.99,3.28 %
Dhankuta,0.12 %,39.62 kg/ha,6.68,2.38 %
Dhanusa,0.06 %,10.15 kg/ha,6.17,0.8 %
Dolkha,0.15 %,201.82 kg/ha,5.83,4.98 %
Dolpa,0.24 %,177.58 kg/ha,7.46,4.78 %
Doti,0.14 %,64.44 kg/ha,6.19,2.79 %
Gorkha,0.12 %,159.85 kg/ha,5.97,3.36 %
Gulmi,0.13 %,205.52 kg/ha,6.71,2.95 %
Humla,0.26 %,168.47 kg/ha,7.05,4.9 %
Ilam,0.17 %,97.96 kg/ha,5.87,3.64 %
Jajarkot,0.21 %,182.16 kg/ha,6.17,3.85 %
Jhapa,0.08 %,32.76 kg/ha,5.84,1.56 %
Jumla,0.25 %,90.39 kg/ha,6.11,4.83 %
Kabhre,0.09 %,22.71 kg/ha,6.52,1.73 %
Kailali,0.14 %,97.98 kg/ha,6.79,2.99 %
Kalikot,0.15 %,89.06 kg/ha,6.52,3.53 %
Kanchanpur,0.09 %,55.8 kg/ha,7.18,1.98 %
Kapilbastu,0.09 %,24.85 kg/ha,7.32,1.71 %
Kaski,0.16 %,38.85 kg/ha,5.85,3.01 %
Kathmandu,0.13 %,347.28 kg/ha,6.29,2.43 %
Khotang,0.15 %,122.98 kg/ha,6.24,3.24 %
Lalitpur,0.15 %,59.73 kg/ha,5.91,3.15 %
Lamjung,0.12 %,140.73 kg/ha,5.88,3.79 %
Mahottari,0.1 %,26.63 kg/ha,6.16,1.44 %
Makwanpur,0.13 %,158.52 kg/ha,5.82,2.59 %
Manang,0.19 %,133.92 kg/ha,7.15,5.29 %
Morang,0.16 %,114.66 kg/ha,6.3,3.31 %
Mugu,0.24 %,95.8 kg/ha,7.07,4.8 %
Mustang,0.24 %,89.17 kg/ha,8.01,4.06 %
Myagdi,0.09 %,189.94 kg/ha,6.55,4.18 %
Nawalparasi,0.14 %,58.39 kg/ha,5.88,2.87 %
Nuwakot,0.11 %,65.53 kg/ha,6.02,2.21 %
Okhaldhunga,0.16 %,81.99 kg/ha,6.0,3.98 %
Palpa,0.14 %,39.84 kg/ha,6.71,2.73 %
Panchther,0.16 %,104.59 kg/ha,6.03,3.28 %
Parbat,0.11 %,40.1 kg/ha,5.64,2.8 %
Parsa,0.13 %,86.13 kg/ha,5.91,2.51 %
Pyuthan,0.1 %,104.94 kg/ha,7.34,2.23 %
Ramechhap,0.08 %,141.43 kg/ha,6.11,2.35 %
Rasuwa,0.11 %,198.25 kg/ha,6.26,5.3 %
Rolpa,0.05 %,194.53 kg/ha,6.21,2.29 %
Routahat,0.08 %,42.68 kg/ha,7.77,1.37 %
Rukum,0.16 %,153.74 kg/ha,6.45,3.04 %
Rupandehi,0.12 %,76.12 kg/ha,6.66,2.31 %
Salyan,0.18 %,199.46 kg/ha,6.45,3.13 %
Sankhuwasabha,0.14 %,134.16 kg/ha,5.8,4.89 %
Saptari,0.07 %,37.34 kg/ha,6.28,1.43 %
Sarlahi,0.1 %,27.02 kg/ha,6.65,1.82 %
Sindhuli,0.16 %,58.94 kg/ha,6.12,3.48 %
Sindhupalchok,0.11 %,215.6 kg/ha,5.82,5.18 %
Siraha,0.11 %,20.96 kg/ha,7.0,0.9 %
Solukhumbu,0.13 %,186.8 kg/ha,6.24,7.31 %
Sunsari,0.09 %,81.42 kg/ha,5.92,1.69 %
Surkhet,0.16 %,110.72 kg/ha,6.59,3.28 %
Syangja,0.11 %,60.47 kg/ha,6.18,2.63 %
Tanahun,0.19 %,138.53 kg/ha,6.39,4.03 %
Taplejung,0.12 %,175.3 kg/ha,6.06,6.21 %
Terhathum,0.18 %,87.36 kg/ha,6.23,3.52 %
Udayapur,0.13 %,47.83 kg/ha,6.6,2.71 %
